window,freq,count,growth,GLD,BND,IGV,VDC,SOCL,IHF,IYZ,XOM,BUYING_POWER
14,window,58,0.13248644700886847,0.568426928854569,0.0,0.0,0.1376727898578395,0.04390028128759153,0.0,0.0,0.0,0.25
14,window,59,0.13248644700886847,0.568426928854569,0.0,0.0,0.1376727898578395,0.04390028128759153,0.0,0.0,0.0,0.25
14,window,60,0.13248644700886847,0.568426928854569,0.0,0.0,0.1376727898578395,0.04390028128759153,0.0,0.0,0.0,0.25
14,window,61,0.13248644700886847,0.568426928854569,0.0,0.0,0.1376727898578395,0.04390028128759153,0.0,0.0,0.0,0.25
14,window,62,0.13248644700886847,0.568426928854569,0.0,0.0,0.1376727898578395,0.04390028128759153,0.0,0.0,0.0,0.25
14,window,63,0.13248644700886847,0.568426928854569,0.0,0.0,0.1376727898578395,0.04390028128759153,0.0,0.0,0.0,0.25
14,window,64,0.13248644700886847,0.568426928854569,0.0,0.0,0.1376727898578395,0.04390028128759153,0.0,0.0,0.0,0.25
14,window,65,0.13248644700886847,0.568426928854569,0.0,0.0,0.1376727898578395,0.04390028128759153,0.0,0.0,0.0,0.25
14,window,66,0.13248644700886847,0.568426928854569,0.0,0.0,0.1376727898578395,0.04390028128759153,0.0,0.0,0.0,0.25
14,window,67,0.13248644700886847,0.568426928854569,0.0,0.0,0.1376727898578395,0.04390028128759153,0.0,0.0,0.0,0.25
14,window,68,0.13248644700886847,0.568426928854569,0.0,0.0,0.1376727898578395,0.04390028128759153,0.0,0.0,0.0,0.25
14,window,69,0.13248644700886847,0.568426928854569,0.0,0.0,0.1376727898578395,0.04390028128759153,0.0,0.0,0.0,0.25
14,window,70,0.13248644700886847,0.568426928854569,0.0,0.0,0.1376727898578395,0.04390028128759153,0.0,0.0,0.0,0.25
14,window,71,0.13248644700886847,0.1915609305836879,0.2517162671475027,0.3067228022688094,0.0,0.0,0.0,0.0,0.0,0.25
14,window,72,0.13248644700886847,0.1915609305836879,0.2517162671475027,0.3067228022688094,0.0,0.0,0.0,0.0,0.0,0.25
14,window,73,0.13248644700886847,0.1915609305836879,0.2517162671475027,0.3067228022688094,0.0,0.0,0.0,0.0,0.0,0.25
14,window,74,0.13248644700886847,0.1915609305836879,0.2517162671475027,0.3067228022688094,0.0,0.0,0.0,0.0,0.0,0.25
14,window,75,0.13248644700886847,0.1915609305836879,0.2517162671475027,0.3067228022688094,0.0,0.0,0.0,0.0,0.0,0.25
14,window,76,0.13248644700886847,0.1915609305836879,0.2517162671475027,0.3067228022688094,0.0,0.0,0.0,0.0,0.0,0.25
14,window,77,0.13248644700886847,0.1915609305836879,0.2517162671475027,0.3067228022688094,0.0,0.0,0.0,0.0,0.0,0.25
14,window,78,0.13248644700886847,0.1915609305836879,0.2517162671475027,0.3067228022688094,0.0,0.0,0.0,0.0,0.0,0.25
14,window,79,0.13248644700886847,0.1915609305836879,0.2517162671475027,0.3067228022688094,0.0,0.0,0.0,0.0,0.0,0.25
14,window,80,0.13248644700886847,0.1915609305836879,0.2517162671475027,0.3067228022688094,0.0,0.0,0.0,0.0,0.0,0.25
14,window,81,0.13248644700886847,0.1915609305836879,0.2517162671475027,0.3067228022688094,0.0,0.0,0.0,0.0,0.0,0.25
14,window,82,0.13248644700886847,0.1915609305836879,0.2517162671475027,0.3067228022688094,0.0,0.0,0.0,0.0,0.0,0.25
14,window,83,0.13248644700886847,0.1915609305836879,0.2517162671475027,0.3067228022688094,0.0,0.0,0.0,0.0,0.0,0.25
14,window,84,0.13248644700886847,0.1915609305836879,0.2517162671475027,0.3067228022688094,0.0,0.0,0.0,0.0,0.0,0.25
14,window,85,0.13248644700886847,0.4414280589767993,0.1421459906772523,0.0,0.0,0.0,0.08831957347044124,0.0,0.07810637687550713,0.25
14,window,86,0.13248644700886847,0.4414280589767993,0.1421459906772523,0.0,0.0,0.0,0.08831957347044124,0.0,0.07810637687550713,0.25
14,window,87,0.13248644700886847,0.4414280589767993,0.1421459906772523,0.0,0.0,0.0,0.08831957347044124,0.0,0.07810637687550713,0.25
14,window,88,0.13248644700886847,0.4414280589767993,0.1421459906772523,0.0,0.0,0.0,0.08831957347044124,0.0,0.07810637687550713,0.25
14,window,89,0.13248644700886847,0.4414280589767993,0.1421459906772523,0.0,0.0,0.0,0.08831957347044124,0.0,0.07810637687550713,0.25
14,window,90,0.13248644700886847,0.4414280589767993,0.1421459906772523,0.0,0.0,0.0,0.08831957347044124,0.0,0.07810637687550713,0.25
14,window,91,0.13248644700886847,0.4414280589767993,0.1421459906772523,0.0,0.0,0.0,0.08831957347044124,0.0,0.07810637687550713,0.25
14,window,92,0.13248644700886847,0.4414280589767993,0.1421459906772523,0.0,0.0,0.0,0.08831957347044124,0.0,0.07810637687550713,0.25
14,window,93,0.13248644700886847,0.4414280589767993,0.1421459906772523,0.0,0.0,0.0,0.08831957347044124,0.0,0.07810637687550713,0.25
14,window,94,0.13248644700886847,0.4414280589767993,0.1421459906772523,0.0,0.0,0.0,0.08831957347044124,0.0,0.07810637687550713,0.25
14,window,95,0.13248644700886847,0.4414280589767993,0.1421459906772523,0.0,0.0,0.0,0.08831957347044124,0.0,0.07810637687550713,0.25
14,window,96,0.13248644700886847,0.4414280589767993,0.1421459906772523,0.0,0.0,0.0,0.08831957347044124,0.0,0.07810637687550713,0.25
14,window,97,0.13248644700886847,0.4414280589767993,0.1421459906772523,0.0,0.0,0.0,0.08831957347044124,0.0,0.07810637687550713,0.25
14,window,98,0.13248644700886847,0.4414280589767993,0.1421459906772523,0.0,0.0,0.0,0.08831957347044124,0.0,0.07810637687550713,0.25
14,window,99,0.13248644700886847,0.4022498596536579,0.1619503474661684,0.0,0.0,0.1857997928801737,0.0,0.0,0.0,0.25
14,window,100,0.13248644700886847,0.4022498596536579,0.1619503474661684,0.0,0.0,0.1857997928801737,0.0,0.0,0.0,0.25
14,window,101,0.13248644700886847,0.4022498596536579,0.1619503474661684,0.0,0.0,0.1857997928801737,0.0,0.0,0.0,0.25
14,window,102,0.13248644700886847,0.4022498596536579,0.1619503474661684,0.0,0.0,0.1857997928801737,0.0,0.0,0.0,0.25
14,window,103,0.13248644700886847,0.4022498596536579,0.1619503474661684,0.0,0.0,0.1857997928801737,0.0,0.0,0.0,0.25
14,window,104,0.13248644700886847,0.4022498596536579,0.1619503474661684,0.0,0.0,0.1857997928801737,0.0,0.0,0.0,0.25
14,window,105,0.13248644700886847,0.4022498596536579,0.1619503474661684,0.0,0.0,0.1857997928801737,0.0,0.0,0.0,0.25
14,window,106,0.13248644700886847,0.4022498596536579,0.1619503474661684,0.0,0.0,0.1857997928801737,0.0,0.0,0.0,0.25
14,window,107,0.13248644700886847,0.4022498596536579,0.1619503474661684,0.0,0.0,0.1857997928801737,0.0,0.0,0.0,0.25
14,window,108,0.13248644700886847,0.4022498596536579,0.1619503474661684,0.0,0.0,0.1857997928801737,0.0,0.0,0.0,0.25
14,window,109,0.13248644700886847,0.4022498596536579,0.1619503474661684,0.0,0.0,0.1857997928801737,0.0,0.0,0.0,0.25
14,window,110,0.13248644700886847,0.4022498596536579,0.1619503474661684,0.0,0.0,0.1857997928801737,0.0,0.0,0.0,0.25
14,window,111,0.13248644700886847,0.4022498596536579,0.1619503474661684,0.0,0.0,0.1857997928801737,0.0,0.0,0.0,0.25
14,window,112,0.13248644700886847,0.4022498596536579,0.1619503474661684,0.0,0.0,0.1857997928801737,0.0,0.0,0.0,0.25
14,window,113,0.13248644700886847,0.568881490695329,0.02733175894554216,0.0,0.0,0.0,0.09479204544685525,0.05899470491227361,0.0,0.25
14,window,114,0.13248644700886847,0.568881490695329,0.02733175894554216,0.0,0.0,0.0,0.09479204544685525,0.05899470491227361,0.0,0.25
14,window,115,0.13248644700886847,0.568881490695329,0.02733175894554216,0.0,0.0,0.0,0.09479204544685525,0.05899470491227361,0.0,0.25
14,window,116,0.13248644700886847,0.568881490695329,0.02733175894554216,0.0,0.0,0.0,0.09479204544685525,0.05899470491227361,0.0,0.25
14,window,117,0.13248644700886847,0.568881490695329,0.02733175894554216,0.0,0.0,0.0,0.09479204544685525,0.05899470491227361,0.0,0.25
14,window,118,0.13248644700886847,0.568881490695329,0.02733175894554216,0.0,0.0,0.0,0.09479204544685525,0.05899470491227361,0.0,0.25
14,window,119,0.13248644700886847,0.568881490695329,0.02733175894554216,0.0,0.0,0.0,0.09479204544685525,0.05899470491227361,0.0,0.25
14,window,120,0.13248644700886847,0.568881490695329,0.02733175894554216,0.0,0.0,0.0,0.09479204544685525,0.05899470491227361,0.0,0.25
14,window,121,0.13248644700886847,0.568881490695329,0.02733175894554216,0.0,0.0,0.0,0.09479204544685525,0.05899470491227361,0.0,0.25
14,window,122,0.13248644700886847,0.568881490695329,0.02733175894554216,0.0,0.0,0.0,0.09479204544685525,0.05899470491227361,0.0,0.25
