window,freq,count,growth,GLD,BND,IGV,VDC,SOCL,IHF,IYZ,XOM
14,window,109,0.17834493080641534,0.5363105244304736,0.2159456592245154,0.0,0.0,0.247743816345011,0.0,0.0,0.0
14,window,110,0.17834493080641534,0.5363105244304736,0.2159456592245154,0.0,0.0,0.247743816345011,0.0,0.0,0.0
14,window,111,0.17834493080641534,0.5363105244304736,0.2159456592245154,0.0,0.0,0.247743816345011,0.0,0.0,0.0
14,window,112,0.17834493080641534,0.5363105244304736,0.2159456592245154,0.0,0.0,0.247743816345011,0.0,0.0,0.0
14,window,113,0.17834493080641534,0.7584993450596202,0.03644618713519317,0.0,0.0,0.0,0.1263849282532842,0.07866953955190234,0.0
14,window,114,0.17834493080641534,0.7584993450596202,0.03644618713519317,0.0,0.0,0.0,0.1263849282532842,0.07866953955190234,0.0
14,window,115,0.17834493080641534,0.7584993450596202,0.03644618713519317,0.0,0.0,0.0,0.1263849282532842,0.07866953955190234,0.0
14,window,116,0.17834493080641534,0.7584993450596202,0.03644618713519317,0.0,0.0,0.0,0.1263849282532842,0.07866953955190234,0.0
14,window,117,0.17834493080641534,0.7584993450596202,0.03644618713519317,0.0,0.0,0.0,0.1263849282532842,0.07866953955190234,0.0
14,window,118,0.17834493080641534,0.7584993450596202,0.03644618713519317,0.0,0.0,0.0,0.1263849282532842,0.07866953955190234,0.0
14,window,119,0.17834493080641534,0.7584993450596202,0.03644618713519317,0.0,0.0,0.0,0.1263849282532842,0.07866953955190234,0.0
14,window,120,0.17834493080641534,0.7584993450596202,0.03644618713519317,0.0,0.0,0.0,0.1263849282532842,0.07866953955190234,0.0
14,window,121,0.17834493080641534,0.7584993450596202,0.03644618713519317,0.0,0.0,0.0,0.1263849282532842,0.07866953955190234,0.0
14,window,122,0.17834493080641534,0.7584993450596202,0.03644618713519317,0.0,0.0,0.0,0.1263849282532842,0.07866953955190234,0.0
14,window,123,0.17834493080641534,0.7584993450596202,0.03644618713519317,0.0,0.0,0.0,0.1263849282532842,0.07866953955190234,0.0
14,window,124,0.17834493080641534,0.7584993450596202,0.03644618713519317,0.0,0.0,0.0,0.1263849282532842,0.07866953955190234,0.0
14,window,125,0.17834493080641534,0.7584993450596202,0.03644618713519317,0.0,0.0,0.0,0.1263849282532842,0.07866953955190234,0.0
14,window,126,0.17834493080641534,0.7584993450596202,0.03644618713519317,0.0,0.0,0.0,0.1263849282532842,0.07866953955190234,0.0
14,window,127,0.17834493080641534,0.3640375732980258,0.2573140430025179,0.1442257463303948,0.0,0.0,0.1384873604059367,0.0,0.0959352769631248
14,window,128,0.17834493080641534,0.3640375732980258,0.2573140430025179,0.1442257463303948,0.0,0.0,0.1384873604059367,0.0,0.0959352769631248
14,window,129,0.17834493080641534,0.3640375732980258,0.2573140430025179,0.1442257463303948,0.0,0.0,0.1384873604059367,0.0,0.0959352769631248
14,window,130,0.17834493080641534,0.3640375732980258,0.2573140430025179,0.1442257463303948,0.0,0.0,0.1384873604059367,0.0,0.0959352769631248
14,window,131,0.17834493080641534,0.3640375732980258,0.2573140430025179,0.1442257463303948,0.0,0.0,0.1384873604059367,0.0,0.0959352769631248
14,window,132,0.17834493080641534,0.3640375732980258,0.2573140430025179,0.1442257463303948,0.0,0.0,0.1384873604059367,0.0,0.0959352769631248
14,window,133,0.17834493080641534,0.3640375732980258,0.2573140430025179,0.1442257463303948,0.0,0.0,0.1384873604059367,0.0,0.0959352769631248
14,window,134,0.17834493080641534,0.3640375732980258,0.2573140430025179,0.1442257463303948,0.0,0.0,0.1384873604059367,0.0,0.0959352769631248
14,window,135,0.17834493080641534,0.3640375732980258,0.2573140430025179,0.1442257463303948,0.0,0.0,0.1384873604059367,0.0,0.0959352769631248
14,window,136,0.17834493080641534,0.3640375732980258,0.2573140430025179,0.1442257463303948,0.0,0.0,0.1384873604059367,0.0,0.0959352769631248
14,window,137,0.17834493080641534,0.3640375732980258,0.2573140430025179,0.1442257463303948,0.0,0.0,0.1384873604059367,0.0,0.0959352769631248
14,window,138,0.17834493080641534,0.3640375732980258,0.2573140430025179,0.1442257463303948,0.0,0.0,0.1384873604059367,0.0,0.0959352769631248
14,window,139,0.17834493080641534,0.3640375732980258,0.2573140430025179,0.1442257463303948,0.0,0.0,0.1384873604059367,0.0,0.0959352769631248
14,window,140,0.17834493080641534,0.3640375732980258,0.2573140430025179,0.1442257463303948,0.0,0.0,0.1384873604059367,0.0,0.0959352769631248
14,window,141,0.17834493080641534,0.5892750136735916,0.0,0.0,0.1223410764746504,0.0,0.05211604611246374,0.0,0.2362678637392943
14,window,142,0.17834493080641534,0.5892750136735916,0.0,0.0,0.1223410764746504,0.0,0.05211604611246374,0.0,0.2362678637392943
14,window,143,0.17834493080641534,0.5892750136735916,0.0,0.0,0.1223410764746504,0.0,0.05211604611246374,0.0,0.2362678637392943
14,window,144,0.17834493080641534,0.5892750136735916,0.0,0.0,0.1223410764746504,0.0,0.05211604611246374,0.0,0.2362678637392943
14,window,145,0.17834493080641534,0.5892750136735916,0.0,0.0,0.1223410764746504,0.0,0.05211604611246374,0.0,0.2362678637392943
14,window,146,0.17834493080641534,0.5892750136735916,0.0,0.0,0.1223410764746504,0.0,0.05211604611246374,0.0,0.2362678637392943
14,window,147,0.17834493080641534,0.5892750136735916,0.0,0.0,0.1223410764746504,0.0,0.05211604611246374,0.0,0.2362678637392943
14,window,148,0.17834493080641534,0.5892750136735916,0.0,0.0,0.1223410764746504,0.0,0.05211604611246374,0.0,0.2362678637392943
14,window,149,0.17834493080641534,0.5892750136735916,0.0,0.0,0.1223410764746504,0.0,0.05211604611246374,0.0,0.2362678637392943
14,window,150,0.17834493080641534,0.5892750136735916,0.0,0.0,0.1223410764746504,0.0,0.05211604611246374,0.0,0.2362678637392943
14,window,151,0.17834493080641534,0.5892750136735916,0.0,0.0,0.1223410764746504,0.0,0.05211604611246374,0.0,0.2362678637392943
14,window,152,0.17834493080641534,0.5892750136735916,0.0,0.0,0.1223410764746504,0.0,0.05211604611246374,0.0,0.2362678637392943
14,window,153,0.17834493080641534,0.5892750136735916,0.0,0.0,0.1223410764746504,0.0,0.05211604611246374,0.0,0.2362678637392943
14,window,154,0.17834493080641534,0.5892750136735916,0.0,0.0,0.1223410764746504,0.0,0.05211604611246374,0.0,0.2362678637392943
14,window,155,0.17834493080641534,0.5954851327859786,0.0692064849389941,0.0,0.02261721408423677,0.1882718807027879,0.01130053034025679,0.0,0.1131187571477459
14,window,156,0.17834493080641534,0.5954851327859786,0.0692064849389941,0.0,0.02261721408423677,0.1882718807027879,0.01130053034025679,0.0,0.1131187571477459
14,window,157,0.17834493080641534,0.5954851327859786,0.0692064849389941,0.0,0.02261721408423677,0.1882718807027879,0.01130053034025679,0.0,0.1131187571477459
14,window,158,0.17834493080641534,0.5954851327859786,0.0692064849389941,0.0,0.02261721408423677,0.1882718807027879,0.01130053034025679,0.0,0.1131187571477459
14,window,159,0.17834493080641534,0.5954851327859786,0.0692064849389941,0.0,0.02261721408423677,0.1882718807027879,0.01130053034025679,0.0,0.1131187571477459
14,window,160,0.17834493080641534,0.5954851327859786,0.0692064849389941,0.0,0.02261721408423677,0.1882718807027879,0.01130053034025679,0.0,0.1131187571477459
14,window,161,0.17834493080641534,0.5954851327859786,0.0692064849389941,0.0,0.02261721408423677,0.1882718807027879,0.01130053034025679,0.0,0.1131187571477459
14,window,162,0.17834493080641534,0.5954851327859786,0.0692064849389941,0.0,0.02261721408423677,0.1882718807027879,0.01130053034025679,0.0,0.1131187571477459
14,window,163,0.17834493080641534,0.5954851327859786,0.0692064849389941,0.0,0.02261721408423677,0.1882718807027879,0.01130053034025679,0.0,0.1131187571477459
14,window,164,0.17834493080641534,0.5954851327859786,0.0692064849389941,0.0,0.02261721408423677,0.1882718807027879,0.01130053034025679,0.0,0.1131187571477459
14,window,165,0.17834493080641534,0.5954851327859786,0.0692064849389941,0.0,0.02261721408423677,0.1882718807027879,0.01130053034025679,0.0,0.1131187571477459
14,window,166,0.17834493080641534,0.5954851327859786,0.0692064849389941,0.0,0.02261721408423677,0.1882718807027879,0.01130053034025679,0.0,0.1131187571477459
14,window,167,0.17834493080641534,0.5954851327859786,0.0692064849389941,0.0,0.02261721408423677,0.1882718807027879,0.01130053034025679,0.0,0.1131187571477459
14,window,168,0.17834493080641534,0.5954851327859786,0.0692064849389941,0.0,0.02261721408423677,0.1882718807027879,0.01130053034025679,0.0,0.1131187571477459
14,window,169,0.17834493080641534,0.0,0.301611804352155,0.02340066336502115,0.4234407139312617,0.0,0.1446071964524875,0.0,0.1069396218990746
14,window,170,0.17834493080641534,0.0,0.301611804352155,0.02340066336502115,0.4234407139312617,0.0,0.1446071964524875,0.0,0.1069396218990746
14,window,171,0.17834493080641534,0.0,0.301611804352155,0.02340066336502115,0.4234407139312617,0.0,0.1446071964524875,0.0,0.1069396218990746
14,window,172,0.17834493080641534,0.0,0.301611804352155,0.02340066336502115,0.4234407139312617,0.0,0.1446071964524875,0.0,0.1069396218990746
14,window,173,0.17834493080641534,0.0,0.301611804352155,0.02340066336502115,0.4234407139312617,0.0,0.1446071964524875,0.0,0.1069396218990746
14,window,174,0.17834493080641534,0.0,0.301611804352155,0.02340066336502115,0.4234407139312617,0.0,0.1446071964524875,0.0,0.1069396218990746
14,window,175,0.17834493080641534,0.0,0.301611804352155,0.02340066336502115,0.4234407139312617,0.0,0.1446071964524875,0.0,0.1069396218990746
14,window,176,0.17834493080641534,0.0,0.301611804352155,0.02340066336502115,0.4234407139312617,0.0,0.1446071964524875,0.0,0.1069396218990746
14,window,177,0.17834493080641534,0.0,0.301611804352155,0.02340066336502115,0.4234407139312617,0.0,0.1446071964524875,0.0,0.1069396218990746
14,window,178,0.17834493080641534,0.0,0.301611804352155,0.02340066336502115,0.4234407139312617,0.0,0.1446071964524875,0.0,0.1069396218990746
